learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,4,0.8,0.8,1.0,1,0.0010618678129847214,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,0.8,1.0,5,0.0010618678129847214,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,1,0.0010621504905656603,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,5,0.0010621504905656603,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,1,0.0010623172695958438,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,5,0.0010623172695958438,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,1,0.0010619801242554695,4,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,5,0.0010619801242554695,4,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,1,0.0010619915666390401,8,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,5,0.0010619915666390401,8,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,1,0.0010606745631353814,32,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,5,0.0010606745631353814,32,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,1,0.0010620257441841168,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,5,0.0010620257441841168,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,1,0.001062259377090888,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,5,0.001062259377090888,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,1,0.0010623062652562116,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,5,0.0010623062652562116,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,1,0.0010601531921039492,11,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,5,0.0010601531921039492,11,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,1,0.0010592603231749295,30,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,5,0.0010592603231749295,30,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,1,0.001059854399224879,39,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,5,0.001059854399224879,39,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,0.8,1.0,1,0.0010624765744932003,19,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,0.8,1.0,5,0.0010624765744932003,19,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,0.8,5.0,1,0.0010629501185361267,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,0.8,5.0,5,0.0010629501185361267,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,0.8,10.0,1,0.001062650465336961,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,0.8,10.0,5,0.001062650465336961,1,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,1.0,1.0,1,0.001059496134662195,13,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,1.0,1.0,5,0.001059496134662195,13,False,NOR_10Y,1,GFC,GFC,walk_forward
0.01,6,0.8,1.0,5.0,1,0.0010581416136599452,66,False,NOR_10Y,1,GFC,GFC,walk_forward
