learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,4,0.8,0.8,1.0,1,1.0390138830497548,272,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,0.8,1.0,5,1.0390138830497548,272,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,1,1.0429389023873616,500,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,5,1.0429389023873616,500,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,1,1.0481514927747135,500,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,5,1.0481514927747135,500,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,1,0.9753227966528087,474,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,5,0.9753227966528087,474,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,1,1.0411651899951033,499,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,5,1.0411651899951033,499,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,1,1.0536754251501415,498,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,5,1.0536754251501415,498,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,1,1.0234794197697084,379,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,5,1.0234794197697084,379,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,1,1.0493184652714842,478,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,5,1.0493184652714842,478,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,1,1.0807036555478575,434,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,5,1.0807036555478575,434,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,1,1.0358990384528481,443,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,5,1.0358990384528481,443,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,1,1.061542648888589,481,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,5,1.061542648888589,481,False,NOR_10Y,252,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,1,1.102581250771485,485,False,NOR_10Y,252,GFC,GFC,walk_forward
